EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
897582,OTERO CO.,CHERAW,05/19/2020,1915,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148943,C,89,PUB,0,0,Law Enforcement, ,1,20,4,NNE,4,NNE,CHERAW,05/19/2020,1922,38.17,-103.49,38.17,-103.49,"Colorado State Trooper witnessed a tornado/landspout north of Cheraw, CO. The tornado stayed over open land and did not produce any damage.","During the late evening hours a strong thunderstorm developed across the eastern Colorado plains making it's way through the lower Arkansas River Valley. One storm in particular produced a weak landspout over open fields. No damage was reported.",1
890142,WELD CO.,GREELEY ARPT,05/20/2020,1738,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,147178,C,123,BOU,0,0,Storm Chaser, ,0.9,50,2,ESE,2,E,GREELEY ARPT,05/20/2020,1742,40.4204,-104.5982,40.4325,-104.6002,"A landspout touched down briefly in an open field.  No damage was observed.","Six EF-0 landspout tornadoes occurred in Weld County in the span of approximately one hour.   The tornadoes tracked in a southeast to northwest direction over open country in an area from 5 miles east of Greeley to just east of Eaton. Three lasted less than 10 minutes, and the longest lived tornado was on the ground for 25 minutes and had a track length of 8 miles. Three farmsteads were impacted with minor damage, and there were no injuries or deaths.",2
890143,WELD CO.,EATON ARPT,05/20/2020,1741,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,147178,C,123,BOU,0,0,NWS Storm Survey, ,1.4,50,0,WSW,1,ESE,EATON,05/20/2020,1745,40.5185,-104.6582,40.5253,-104.6819,"A brief landspout caused minor damage to a farmstead.  The tornado touched down just west of Weld Co 74/41.  Barn doors were blown it and a fiberglass canoe lofted into a tree.","Six EF-0 landspout tornadoes occurred in Weld County in the span of approximately one hour.   The tornadoes tracked in a southeast to northwest direction over open country in an area from 5 miles east of Greeley to just east of Eaton. Three lasted less than 10 minutes, and the longest lived tornado was on the ground for 25 minutes and had a track length of 8 miles. Three farmsteads were impacted with minor damage, and there were no injuries or deaths.",3
890145,WELD CO.,GREELEY ARPT,05/20/2020,1745,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,147178,C,123,BOU,0,0,Trained Spotter, ,4,50,2,NE,1,NE,LUCERNE,05/20/2020,1756,40.4512,-104.6037,40.493,-104.6582,"A landspout touched down near a farmstead and caused minor damage. It struck an irrigation pivot and twisted it.","Six EF-0 landspout tornadoes occurred in Weld County in the span of approximately one hour.   The tornadoes tracked in a southeast to northwest direction over open country in an area from 5 miles east of Greeley to just east of Eaton. Three lasted less than 10 minutes, and the longest lived tornado was on the ground for 25 minutes and had a track length of 8 miles. Three farmsteads were impacted with minor damage, and there were no injuries or deaths.",4
890148,WELD CO.,GREELEY ARPT,05/20/2020,1746,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,147178,C,123,BOU,0,0,Trained Spotter, ,4.8,50,2,ENE,2,SSE,EATON ARPT,05/20/2020,1801,40.4387,-104.5924,40.4945,-104.6396,"A landspout touched down and caused minor damage to a farm located north of CO-392.|One aluminum shed sustained serious damaged.","Six EF-0 landspout tornadoes occurred in Weld County in the span of approximately one hour.   The tornadoes tracked in a southeast to northwest direction over open country in an area from 5 miles east of Greeley to just east of Eaton. Three lasted less than 10 minutes, and the longest lived tornado was on the ground for 25 minutes and had a track length of 8 miles. Three farmsteads were impacted with minor damage, and there were no injuries or deaths.",5
890163,WELD CO.,GREELEY ARPT,05/20/2020,1756,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,147178,C,123,BOU,0,0,Storm Chaser, ,8,50,3,E,1,ESE,EATON,05/20/2020,1821,40.4307,-104.5813,40.5231,-104.6789,"A landspout tornado touched down and caused minor damage an older barn near county roads 72 and 43.  The damage consisted of a wall blown over from an outbuilding.","Six EF-0 landspout tornadoes occurred in Weld County in the span of approximately one hour.   The tornadoes tracked in a southeast to northwest direction over open country in an area from 5 miles east of Greeley to just east of Eaton. Three lasted less than 10 minutes, and the longest lived tornado was on the ground for 25 minutes and had a track length of 8 miles. Three farmsteads were impacted with minor damage, and there were no injuries or deaths.",6
895954,WELD CO.,GILL,05/20/2020,1826,Tornado, ,EF0,0,0,0,0,CO,MST-7, ,147178,C,123,BOU,0,0,Storm Chaser, ,1.15,50,5,SSE,3,SSE,GILL,05/20/2020,1830,40.3933,-104.4839,40.4081,-104.4939,"A tornado touched down briefly in an open field.  No damage was observed.","Six EF-0 landspout tornadoes occurred in Weld County in the span of approximately one hour.   The tornadoes tracked in a southeast to northwest direction over open country in an area from 5 miles east of Greeley to just east of Eaton. Three lasted less than 10 minutes, and the longest lived tornado was on the ground for 25 minutes and had a track length of 8 miles. Three farmsteads were impacted with minor damage, and there were no injuries or deaths.",7
897595,PROWERS CO.,GRANADA,05/21/2020,1447,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148946,C,99,PUB,0,0,Storm Chaser, ,2,25,10,S,10,S,GRANADA,05/21/2020,1458,37.92,-102.31,37.92,-102.31,"Chaser reported a tornado south of Granada. Tornado was on the ground for a few minutes before lifting. No reports of damage as the tornado was over open fields.","A very active afternoon over the far eastern Colorado plains spawned a few large supercell thunderstorms with very heavy rainfall, very large hail, and a few tornadoes. Far eastern Prowers County was hit especially hard by baseball sized hail and a few tornadoes south of Garanda, CO.",8
897596,PROWERS CO.,HOLLY,05/21/2020,1517,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148946,C,99,PUB,0,0,Trained Spotter, ,1,25,2,S,2,S,HOLLY,05/21/2020,1525,38.02,-102.12,38.02,-102.12,"Trained spotters reported a tornado south of Holly, CO. The tornado lasted 5-7 minutes before lifting near the town of Holly. No damage reported as the tornado moved through open fields.","A very active afternoon over the far eastern Colorado plains spawned a few large supercell thunderstorms with very heavy rainfall, very large hail, and a few tornadoes. Far eastern Prowers County was hit especially hard by baseball sized hail and a few tornadoes south of Garanda, CO.",9
904953,CHEYENNE CO.,WILD HORSE,06/02/2020,1213,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148830,C,17,GLD,0,0,NWS Employee, ,0.54,30,13,NNE,13,N,WILD HORSE,06/02/2020,1216,39,-102.95,39,-102.96,"Brief landspout tornado observed by NWS employee and Viaero webcam. This is the first observed landspout of the day.","During the afternoon several weak landspout tornadoes were reported from slow moving storms in northern Cheyenne County.  No damage was reported from these landspouts.||After the landspouts had ended, a weak front moving east across East Central Colorado caused a brief dust storm to occur south of Burlington near a feedlot.||During the late afternoon another round of thunderstorms developed west into Colorado from Kansas.  A gust of 59 MPH was reported from one of these storms in Hale.",10
904954,CHEYENNE CO.,WILD HORSE,06/02/2020,1227,Tornado, ,EFU,0,0,0,0,CO,MST-7, ,148830,C,17,GLD,0,0,NWS Employee, ,1.09,30,12,NNE,11,NNE,WILD HORSE,06/02/2020,1231,38.988,-102.9446,38.9743,-102.9547,"Brief landspout tornado observed by NWS employee and Viaero webcam.","During the afternoon several weak landspout tornadoes were reported from slow moving storms in northern Cheyenne County.  No damage was reported from these landspouts.||After the landspouts had ended, a weak front moving east across East Central Colorado caused a brief dust storm to occur south of Burlington near a feedlot.||During the late afternoon another round of thunderstorms developed west into Colorado from Kansas.  A gust of 59 MPH was reported from one of these storms in Hale.",11
